City,State,abbreviation,,,
Anchorage,Alaska,AK,,,
Anderson,Alaska,AK,,,
Angoon,Alaska,AK,,,
Atqasuk,Alaska,AK,,,
Barrow,Alaska,AK,,,
Bethel,Alaska,AK,,,
Clear,Alaska,AK,,,
Cordova,Alaska,AK,,,
Craig,Alaska,AK,,,
Delta Junction,Alaska,AK,,,
Dillingham,Alaska,AK,,,
Eielson Air Force Base,Alaska,AK,,,
Elmendorf Air Force Base,Alaska,AK,,,
Fairbanks,Alaska,AK,,,
Galena,Alaska,AK,,,
Glennallen,Alaska,AK,,,
Gustavus,Alaska,AK,,,
Haines,Alaska,AK,,,
Healy,Alaska,AK,,,
Homer,Alaska,AK,,,
Hoonah,Alaska,AK,,,
Juneau,Alaska,AK,,,
Kenai,Alaska,AK,,,
Ketchikan,Alaska,AK,,,
Klawock,Alaska,AK,,,
Kodiak,Alaska,AK,,,
Kotzebue,Alaska,AK,,,
McGrath,Alaska,AK,,,
Metlakatla,Alaska,AK,,,
Mountain Village,Alaska,AK,,,
Nikiski,Alaska,AK,,,
Nome,Alaska,AK,,,
North Pole,Alaska,AK,,,
Palmer,Alaska,AK,,,
Pelican,Alaska,AK,,,
Petersburg,Alaska,AK,,,
Port Lions,Alaska,AK,,,
Seward,Alaska,AK,,,
Sitka,Alaska,AK,,,
Skagway,Alaska,AK,,,
Soldotna,Alaska,AK,,,
Tanacross,Alaska,AK,,,
Thorne Bay,Alaska,AK,,,
Tok,Alaska,AK,,,
Tununak,Alaska,AK,,,
Unalaska,Alaska,AK,,,
Valdez,Alaska,AK,,,
Wasilla,Alaska,AK,,,
Whittier,Alaska,AK,,,
Wrangell,Alaska,AK,,,
Yakutat,Alaska,AK,,,
College,Alaska,AK,,,
Knik-Fairview,Alaska,AK,,,
Kongiganak,Alaska,AK,,,
Point MacKenzie,Alaska,AK,,,
Abbeville,Alabama,AL,,,
Adamsville,Alabama,AL,,,
Addison,Alabama,AL,,,
Adger,Alabama,AL,,,
Alabaster,Alabama,AL,,,
Albertville,Alabama,AL,,,
Alexander City,Alabama,AL,,,
Alexandria,Alabama,AL,,,
Allgood,Alabama,AL,,,
Alpine,Alabama,AL,,,
Andalusia,Alabama,AL,,,
Anniston,Alabama,AL,,,
Arab,Alabama,AL,,,
Arlington,Alabama,AL,,,
Ashford,Alabama,AL,,,
Ashland,Alabama,AL,,,
Ashville,Alabama,AL,,,
Athens,Alabama,AL,,,
Atmore,Alabama,AL,,,
Attalla,Alabama,AL,,,
Auburn,Alabama,AL,,,
Autaugaville,Alabama,AL,,,
Axis,Alabama,AL,,,
Bay Minette,Alabama,AL,,,
Berry,Alabama,AL,,,
Bessemer,Alabama,AL,,,
Birmingham,Alabama,AL,,,
Blountsville,Alabama,AL,,,
Boaz,Alabama,AL,,,
Bremen,Alabama,AL,,,
Brewton,Alabama,AL,,,
Brookwood,Alabama,AL,,,
Brownsboro,Alabama,AL,,,
Bucks,Alabama,AL,,,
Buhl,Alabama,AL,,,
Butler,Alabama,AL,,,
Calera,Alabama,AL,,,
Camden,Alabama,AL,,,
Carrollton,Alabama,AL,,,
Centre,Alabama,AL,,,
Centreville,Alabama,AL,,,
Chapman,Alabama,AL,,,
Chelsea,Alabama,AL,,,
Cherokee,Alabama,AL,,,
Childersburg,Alabama,AL,,,
Clanton,Alabama,AL,,,
Clayton,Alabama,AL,,,
Clio,Alabama,AL,,,
Coffeeville,Alabama,AL,,,
Columbia,Alabama,AL,,,
Columbiana,Alabama,AL,,,
Cottondale,Alabama,AL,,,
Cottonwood,Alabama,AL,,,
Cowarts,Alabama,AL,,,
Creola,Alabama,AL,,,
Crossville,Alabama,AL,,,
Cullman,Alabama,AL,,,
Daleville,Alabama,AL,,,
Daphne,Alabama,AL,,,
Dauphin Island,Alabama,AL,,,
Deatsville,Alabama,AL,,,
Decatur,Alabama,AL,,,
Demopolis,Alabama,AL,,,
Dixons Mills,Alabama,AL,,,
Dothan,Alabama,AL,,,
Eastaboga,Alabama,AL,,,
Eclectic,Alabama,AL,,,
Elba,Alabama,AL,,,
Elberta,Alabama,AL,,,
Enterprise,Alabama,AL,,,
Eufaula,Alabama,AL,,,
Eutaw,Alabama,AL,,,
Evergreen,Alabama,AL,,,
Excel,Alabama,AL,,,
Fairfield,Alabama,AL,,,
Fairhope,Alabama,AL,,,
Fayette,Alabama,AL,,,
Florence,Alabama,AL,,,
Foley,Alabama,AL,,,
Fruitdale,Alabama,AL,,,
Fort Deposit,Alabama,AL,,,
Fort Payne,Alabama,AL,,,
Fort Rucker,Alabama,AL,,,
Fulton,Alabama,AL,,,
Fultondale,Alabama,AL,,,
Gadsden,Alabama,AL,,,
Gardendale,Alabama,AL,,,
Geneva,Alabama,AL,,,
Glenwood,Alabama,AL,,,
Goodwater,Alabama,AL,,,
Gordo,Alabama,AL,,,
Grand Bay,Alabama,AL,,,
Graysville,Alabama,AL,,,
Greensboro,Alabama,AL,,,
Greenville,Alabama,AL,,,
Grove Hill,Alabama,AL,,,
Guin,Alabama,AL,,,
Gulf Shores,Alabama,AL,,,
Guntersville,Alabama,AL,,,
Haleyville,Alabama,AL,,,
Hamilton,Alabama,AL,,,
Hanceville,Alabama,AL,,,
Hartselle,Alabama,AL,,,
Hatchechubbee,Alabama,AL,,,
Hayden,Alabama,AL,,,
Hayneville,Alabama,AL,,,
Hazel Green,Alabama,AL,,,
Headland,Alabama,AL,,,
Heflin,Alabama,AL,,,
Helena,Alabama,AL,,,
Hodges,Alabama,AL,,,
Hope Hull,Alabama,AL,,,
Huntsville,Alabama,AL,,,
Huxford,Alabama,AL,,,
Ider,Alabama,AL,,,
